Year,Day,Hour,Time(s),Receptor name,X(m),Y(m),Z(m),val,Conc|ug/m3|O3|Toutes les sources|-| 1hr,Conc|ug/m3|PM10|Toutes les sources|-| 1hr
 2011,  203,   18,     -999,MI-1                ,  667410.06, 2087538.62,       1.50,  0.790198E+02,  0.759384E+01,  0.187710E+02
 2011,  203,   18,     -999,MI-2                ,  667399.94, 2087542.50,       1.50,  0.716698E+02,  0.886765E+01,  0.162523E+02
 2011,  203,   18,     -999,MI-3                ,  667426.06, 2087532.50,       1.50,  0.676109E+02,  0.122061E+02,  0.161886E+02
 2011,  203,   18,     -999,MI-4                ,  667450.56, 2087639.25,       1.50,  0.723982E+02,  0.845356E+01,  0.158251E+02
 2011,  203,   18,     -999,MI-5                ,  667440.56, 2087643.25,       1.50,  0.660842E+02,  0.944181E+01,  0.136777E+02
 2011,  203,   18,     -999,MI-6                ,  667466.44, 2087632.75,       1.50,  0.589705E+02,  0.134895E+02,  0.124170E+02
 2011,  203,   18,     -999,MI-7                ,  667488.44, 2087746.75,       1.50,  0.679844E+02,  0.119932E+02,  0.152729E+02
 2011,  203,   18,     -999,MI-8                ,  667477.88, 2087749.25,       1.50,  0.604921E+02,  0.138433E+02,  0.129883E+02
 2011,  203,   18,     -999,MI-9                ,  667505.12, 2087742.75,       1.50,  0.526300E+02,  0.192369E+02,  0.119375E+02
 2011,  203,   18,     -999,MI-10               ,  667497.88, 2087817.12,       1.50,  0.678546E+02,  0.119725E+02,  0.151680E+02
 2011,  203,   18,     -999,MI-11               ,  667487.00, 2087817.38,       1.50,  0.591602E+02,  0.147262E+02,  0.127548E+02
 2011,  203,   18,     -999,MI-12               ,  667515.00, 2087816.62,       1.50,  0.536148E+02,  0.187175E+02,  0.120813E+02
 2011,  203,   18,     -999,MI-13               ,  667497.38, 2087865.12,       1.50,  0.678187E+02,  0.119149E+02,  0.151071E+02
 2011,  203,   18,     -999,MI-14               ,  667486.56, 2087864.00,       1.50,  0.585016E+02,  0.151328E+02,  0.126248E+02
 2011,  203,   18,     -999,MI-15               ,  667514.44, 2087867.00,       1.50,  0.548484E+02,  0.178055E+02,  0.121962E+02
 2011,  203,   18,     -999,MI-16               ,  667487.94, 2087906.62,       1.50,  0.673789E+02,  0.117633E+02,  0.148543E+02
 2011,  203,   18,     -999,MI-17               ,  667477.50, 2087903.75,       1.50,  0.574599E+02,  0.156538E+02,  0.123919E+02
 2011,  203,   18,     -999,MI-18               ,  667504.50, 2087911.25,       1.50,  0.572136E+02,  0.161538E+02,  0.124852E+02
 2011,  203,   18,     -999,MI-19               ,  667398.00, 2087487.00,       1.50,  0.502188E+02,  0.245015E+02,  0.128249E+02
 2011,  203,   18,     -999,MI-20               ,  667408.31, 2087483.62,       1.50,  0.378708E+02,  0.324338E+02,  0.109648E+02
 2011,  203,   18,     -999,MI-21               ,  667381.69, 2087492.38,       1.50,  0.498687E+02,  0.230950E+02,  0.121496E+02
